iteration,num_partitions,upper_variables,upper_constraints,upper_bound,upper_status,num_points,lower_variables,lower_constraints,lower_bound,lower_status,duration
<<<<<<< HEAD
1,2,1561,1589,5.0,Optimal,1,241,929,4.0,Optimal,1853 milliseconds
2,4,6241,4729,5.0,Optimal,2,433,1825,4.0,Optimal,3934 milliseconds
=======
1,168,635496,567625,16.0,Optimal,1,1014582,25271429,0.0,Optimal,571722 milliseconds
>>>>>>> firstResultsJulie
