1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
3.0,4.0,18.0,12.0,0.0,4.0,0.7777777777777778
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
3.0,4.0,18.0,12.0,0.0,4.0,0.7777777777777778
4.0,5.0,18.0,16.0,0.0,5.0,0.7222222222222222
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
3.0,4.0,18.0,12.0,0.0,4.0,0.7777777777777778
4.0,5.0,18.0,16.0,0.0,5.0,0.7222222222222222
5.0,6.0,18.0,20.0,0.0,5.0,0.7222222222222222
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
3.0,4.0,18.0,12.0,0.0,4.0,0.7777777777777778
4.0,5.0,18.0,16.0,0.0,5.0,0.7222222222222222
5.0,6.0,18.0,20.0,0.0,5.0,0.7222222222222222
6.0,7.0,18.0,24.0,0.0,5.0,0.7222222222222222
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
3.0,4.0,18.0,12.0,0.0,4.0,0.7777777777777778
4.0,5.0,18.0,16.0,0.0,5.0,0.7222222222222222
5.0,6.0,18.0,20.0,0.0,5.0,0.7222222222222222
6.0,7.0,18.0,24.0,0.0,5.0,0.7222222222222222
7.0,8.0,18.0,28.0,0.0,5.0,0.7222222222222222
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
3.0,4.0,18.0,12.0,0.0,4.0,0.7777777777777778
4.0,5.0,18.0,16.0,0.0,5.0,0.7222222222222222
5.0,6.0,18.0,20.0,0.0,5.0,0.7222222222222222
6.0,7.0,18.0,24.0,0.0,5.0,0.7222222222222222
7.0,8.0,18.0,28.0,0.0,5.0,0.7222222222222222
8.0,9.0,18.0,32.0,4.0,5.0,0.7222222222222222
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
3.0,4.0,18.0,12.0,0.0,4.0,0.7777777777777778
4.0,5.0,18.0,16.0,0.0,5.0,0.7222222222222222
5.0,6.0,18.0,20.0,0.0,5.0,0.7222222222222222
6.0,7.0,18.0,24.0,0.0,5.0,0.7222222222222222
7.0,8.0,18.0,28.0,0.0,5.0,0.7222222222222222
8.0,9.0,18.0,32.0,4.0,5.0,0.7222222222222222
9.0,10.0,18.0,36.0,4.0,5.0,0.7222222222222222
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
3.0,4.0,18.0,12.0,0.0,4.0,0.7777777777777778
4.0,5.0,18.0,16.0,0.0,5.0,0.7222222222222222
5.0,6.0,18.0,20.0,0.0,5.0,0.7222222222222222
6.0,7.0,18.0,24.0,0.0,5.0,0.7222222222222222
7.0,8.0,18.0,28.0,0.0,5.0,0.7222222222222222
8.0,9.0,18.0,32.0,4.0,5.0,0.7222222222222222
9.0,10.0,18.0,36.0,4.0,5.0,0.7222222222222222
10.0,11.0,18.0,40.0,4.0,5.0,0.7222222222222222
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
3.0,4.0,18.0,12.0,0.0,4.0,0.7777777777777778
4.0,5.0,18.0,16.0,0.0,5.0,0.7222222222222222
5.0,6.0,18.0,20.0,0.0,5.0,0.7222222222222222
6.0,7.0,18.0,24.0,0.0,5.0,0.7222222222222222
7.0,8.0,18.0,28.0,0.0,5.0,0.7222222222222222
8.0,9.0,18.0,32.0,4.0,5.0,0.7222222222222222
9.0,10.0,18.0,36.0,4.0,5.0,0.7222222222222222
10.0,11.0,18.0,40.0,4.0,5.0,0.7222222222222222
11.0,15.0,17.0,56.0,4.0,5.0,0.7058823529411765
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
3.0,4.0,18.0,12.0,0.0,4.0,0.7777777777777778
4.0,5.0,18.0,16.0,0.0,5.0,0.7222222222222222
5.0,6.0,18.0,20.0,0.0,5.0,0.7222222222222222
6.0,7.0,18.0,24.0,0.0,5.0,0.7222222222222222
7.0,8.0,18.0,28.0,0.0,5.0,0.7222222222222222
8.0,9.0,18.0,32.0,4.0,5.0,0.7222222222222222
9.0,10.0,18.0,36.0,4.0,5.0,0.7222222222222222
10.0,11.0,18.0,40.0,4.0,5.0,0.7222222222222222
11.0,15.0,17.0,56.0,4.0,5.0,0.7058823529411765
12.0,19.0,17.0,72.0,4.0,6.0,0.6470588235294118
1.0,2.0,18.0,4.0,0.0,2.0,0.8888888888888888
2.0,3.0,18.0,8.0,0.0,2.0,0.8888888888888888
3.0,4.0,18.0,12.0,0.0,4.0,0.7777777777777778
4.0,5.0,18.0,16.0,0.0,5.0,0.7222222222222222
5.0,6.0,18.0,20.0,0.0,5.0,0.7222222222222222
6.0,7.0,18.0,24.0,0.0,5.0,0.7222222222222222
