DATE,FLIGHT_NUM,WAY,TEAM,NUMBER,START,END
20170620,958,Departure,ASA,3,9:25:00,10:55:00
20170620,958,Departure,POLY,1,9:10:00,10:55:00
20170620,958,Departure,POLY,1,9:25:00,10:55:00
20170620,958,Departure,RZA,1,9:10:00,11:00:00
20170620,976,Departure,ASA,3,9:15:00,10:45:00
20170620,976,Departure,POLY,1,9:00:00,10:45:00
20170620,976,Departure,POLY,1,9:15:00,10:45:00
20170620,976,Departure,RZA,1,9:00:00,10:50:00
20170620,977,Arrival,ASA,2,6:35:00,7:30:00
20170620,977,Arrival,POLY,2,6:35:00,7:30:00
20170620,977,Arrival,RZA,1,6:35:00,7:30:00
20170620,1000,Departure,POLY,1,6:55:00,7:10:00
20170620,1000,Departure,RZA,1,5:55:00,7:25:00
20170620,1005,Arrival,POLY,2,8:40:00,10:00:00
20170620,1005,Arrival,RZA,1,8:35:00,10:10:00
20170620,1005,Arrival,ASA,1,8:40:00,10:00:00
20170620,1024,Departure,POLY,1,8:45:00,9:55:00
20170620,1029,Arrival,RZA,1,8:20:00,10:00:00
20170620,1033,Arrival,POLY,1,8:25:00,9:45:00
20170620,1033,Arrival,RZA,1,8:15:00,10:00:00
20170620,1044,Departure,POLY,1,8:30:00,9:40:00
20170620,1066,Departure,POLY,1,7:10:00,7:25:00
20170620,1066,Departure,RZA,1,6:10:00,7:40:00
20170620,1081,Arrival,POLY,1,8:30:00,9:40:00
20170620,1081,Arrival,RZA,1,8:20:00,9:55:00
20170620,1084,Departure,POLY,1,7:05:00,7:20:00
20170620,1084,Departure,RZA,1,6:05:00,7:35:00
20170620,1089,Arrival,POLY,2,8:50:00,10:10:00
20170620,1089,Arrival,RZA,1,8:45:00,10:20:00
20170620,1089,Arrival,ASA,1,8:50:00,10:10:00
20170620,1114,Departure,POLY,1,7:25:00,7:40:00
20170620,1114,Departure,RZA,1,6:25:00,7:55:00
20170620,1123,Arrival,POLY,2,8:40:00,9:50:00
20170620,1123,Arrival,RZA,1,8:35:00,10:00:00
20170620,1123,Arrival,ASA,1,8:40:00,9:50:00
20170620,1125,Arrival,POLY,2,9:00:00,9:45:00
20170620,1125,Arrival,RZA,1,9:00:00,9:45:00
20170620,1125,Arrival,ASA,1,9:00:00,9:35:00
20170620,1126,Departure,POLY,1,7:15:00,7:30:00
20170620,1126,Departure,RZA,1,6:15:00,7:45:00
20170620,1135,Arrival,POLY,2,8:30:00,9:15:00
20170620,1135,Arrival,RZA,1,8:30:00,9:15:00
20170620,1135,Arrival,ASA,1,8:30:00,9:10:00
20170620,1138,Departure,ASA,1,6:20:00,7:25:00
