DATE,FLIGHT_NUM,WAY,HAUL,PLANE,TEAM,NUMBER,START,END
20170620,718,Departure,Long,77W,POLY,1,14:35:00,16:30:00
20170620,718,Departure,Long,77W,POLY,1,14:50:00,16:30:00
20170620,718,Departure,Long,77W,RZA,1,14:35:00,16:35:00
20170620,719,Arrival,Long,77W,ASA,2,5:55:00,6:50:00
20170620,719,Arrival,Long,77W,POLY,2,5:55:00,6:50:00
20170620,719,Arrival,Long,77W,RZA,1,5:55:00,6:50:00
20170620,719,Arrival,Long,77W,ASA,1,5:55:00,6:50:00
20170620,727,Arrival,Long,332,ASA,2,5:40:00,6:35:00
20170620,727,Arrival,Long,332,POLY,2,5:40:00,6:35:00
20170620,727,Arrival,Long,332,RZA,1,5:40:00,6:35:00
20170620,741,Arrival,Long,77W,ASA,2,10:35:00,11:30:00
20170620,741,Arrival,Long,77W,POLY,2,10:35:00,11:30:00
20170620,741,Arrival,Long,77W,RZA,1,10:35:00,11:30:00
20170620,775,Departure,Long,772,ASA,3,9:05:00,10:35:00
20170620,775,Departure,Long,772,POLY,1,8:50:00,10:35:00
20170620,775,Departure,Long,772,POLY,1,9:05:00,10:35:00
20170620,775,Departure,Long,772,RZA,1,8:50:00,10:40:00
20170620,780,Departure,Long,772,ASA,3,14:15:00,15:45:00
20170620,780,Departure,Long,772,POLY,1,14:00:00,15:45:00
20170620,780,Departure,Long,772,POLY,1,14:15:00,15:45:00
20170620,780,Departure,Long,772,RZA,1,14:00:00,15:50:00
20170620,805,Arrival,Long,343,ASA,2,6:20:00,7:15:00
20170620,805,Arrival,Long,343,POLY,2,6:20:00,7:15:00
20170620,805,Arrival,Long,343,RZA,1,6:20:00,7:15:00
20170620,825,Arrival,Long,772,ASA,2,10:30:00,11:25:00
20170620,825,Arrival,Long,772,POLY,2,10:30:00,11:25:00
20170620,825,Arrival,Long,772,RZA,1,10:30:00,11:25:00
20170620,830,Departure,Long,332,ASA,3,9:25:00,10:55:00
20170620,830,Departure,Long,332,POLY,1,9:10:00,10:55:00
20170620,830,Departure,Long,332,POLY,1,9:25:00,10:55:00
20170620,830,Departure,Long,332,RZA,1,9:10:00,11:00:00
20170620,833,Arrival,Long,332,ASA,2,5:45:00,6:40:00
20170620,833,Arrival,Long,332,POLY,2,5:45:00,6:40:00
20170620,833,Arrival,Long,332,RZA,1,5:45:00,6:40:00
20170620,863,Arrival,Long,343,ASA,2,7:40:00,8:35:00
20170620,863,Arrival,Long,343,POLY,2,7:40:00,8:35:00
20170620,863,Arrival,Long,343,RZA,1,7:40:00,8:35:00
20170620,888,Departure,Long,332,ASA,3,9:15:00,10:45:00
20170620,888,Departure,Long,332,POLY,1,9:00:00,10:45:00
20170620,888,Departure,Long,332,POLY,1,9:15:00,10:45:00
20170620,888,Departure,Long,332,RZA,1,9:00:00,10:50:00
20170620,889,Arrival,Long,332,ASA,2,6:05:00,7:00:00
20170620,889,Arrival,Long,332,POLY,2,6:05:00,7:00:00
20170620,889,Arrival,Long,332,RZA,1,6:05:00,7:00:00
20170620,897,Arrival,Long,332,ASA,2,6:15:00,7:10:00
20170620,897,Arrival,Long,332,POLY,2,6:15:00,7:10:00
20170620,897,Arrival,Long,332,RZA,1,6:15:00,7:10:00
20170620,901,Arrival,Long,77W,ASA,2,5:45:00,6:40:00
20170620,901,Arrival,Long,77W,POLY,2,5:45:00,6:40:00
20170620,901,Arrival,Long,77W,RZA,1,5:45:00,6:40:00
