iteration,num_partitions,upper_bound,num_points,lower_bound_maybe,lower_bound,gap,duration
1,2,149,4,114,124,0.16778523489932887,166134 milliseconds
2,4,149,12,114,124.0000000000001,0.1677852348993282,395223 milliseconds
3,6,149.00000000000003,16,113.99999999999999,124.00000000000001,0.16778523489932892,411799 milliseconds
