iteration,num_partitions,upper_bound,num_points,lower_bound_maybe,lower_bound,gap,duration
1,2,95,4,76,82,0.1368421052631579,61989 milliseconds
2,3,95,8,76,82,0.1368421052631579,112557 milliseconds
3,5,94.99999999999999,12,76,82,0.13684210526315777,131531 milliseconds
4,8,95,24,76,82,0.1368421052631579,386957 milliseconds
5,10,95.00000000000001,28,76,81.99999999999999,0.13684210526315818,341996 milliseconds
